conv_x_name	program_cluster
3_Буряк_Анна_Андреевна	education
3_Морозов_Сергей_Сергеевич	education
4_Митькина_Мария_Александровна	education
4_Савин_Павел_Андреевич	education
4_Чидякина_Ольга_Олеговна	education
5_Плотников_Вадим_Юрьевич	education
5_Савченко_Анастасия_Игоревна	education
5_Бекбулатов_Рамзан_Ломалиевич	education
6_Савин_Павел_Андреевич	education
6_Савченко_Анастасия_Игоревна	education
7_Воробьёва_Наталья_Дмитриевна	education
7_Федотов_Константин_Алексеевич	education
8_Кудасов_Матвей_Джамалханович	education
9_Скурихин_Дмитрий_Андреевич	education
9_Тирешко_Даниил_Олегович	education
10_Шишков_Александр_Александрович	education
10_Евдокимова_Софья_Александровна	education
10_Кухарчук_Иван_Андреевич	education
10_Саметов_Максим_Алексеевич	education
10_Харламов_Виктор_Владимирович	education
10_Ковыршина_Виктория_Алексеевна	education
10_Рахматуллаев_Темурбек_Анасбекович	education
10_Блинов_Алексей_Игоревич	education
10_Макаров_Никита_Михайлович	education
10_Хан_Виктория_Олеговна	education
11_Манахова_Анастасия_Николаевна	education
11_Лоншаков_Никита_Артемович	education
11_Зенков_Тимофей_Владимирович	education
11_Вербовская_Дарья_Иннокентьевна	education
11_Витковский_Андрей_Владиславович	education
11_Агуреева_Екатерина_Сергеевна	education
1_Сапунов_Кирилл_Вячеславович	rights
1_Котляров_Никита_Владимирович	rights
2_Тропин_Александр_Михайлович	rights
3_Григорьев_Иван_Сергеевич	rights
3_Ватутин_Кирилл_Александрович	rights
3_Бунеев_Артём_Валерьевич	rights
3_Осин_Руслан_Владимирович	rights
3_Шариков_Алексей_Анатольевич	rights
3_Сапунов_Кирилл_Вячеславович	rights
4_Глунчадзе_Ираклий_Вахтангович	rights
4_Матвеев_Алексей_Викторович	rights
4_Краснова_Анастасия_Александровна	rights
5_Чидякина_Ольга_Олеговна	rights
5_Матвеев_Дмитрий_Александрович	rights
5_Денисов_Илья_Олегович	rights
5_Ким_Нина_Владимировна	rights
6_Тесля_Артём_Евгеньевич	rights
6_Глунчадзе_Ираклий_Вахтангович	rights
6_Бун-Ян-Тун_Владислав_Владимирович	rights
7_Денисов_Илья_Олегович	rights
7_Татаринцева_Мария_Валерьевна	rights
7_Сенотов_Валерий_Дмитриевич	rights
8_Шерстобитов_Андрей_Сергеевич	rights
8_Денисов_Илья_Олегович	rights
9_Сенотов_Валерий_Дмитриевич	rights
9_Рябцев_Леонид_Владимирович	rights
10_Малиновский_Георгий_Андреевич	rights
10_Попова_Анна_Романовна	rights
10_Фёдоров_Лев_Евгеньевич	rights
11_Третьяков_Пётр_Максимович	rights
11_Клюев_Андрей_Игоревич	rights
11_Водолеев_Марк_Дмитриевич	rights
11_Дехнич_Кирилл_Андреевич	rights
11_Янушкевич_Иван_Михайлович	rights
11_Абубакарова_Лейла_Арбиевна	rights
2_Морозов_Сергей_Сергеевич	education
3_Митькина_Мария_Александровна	education
4_Морозов_Сергей_Сергеевич	education
5_Морозов_Сергей_Сергеевич	education
6_Нагорных_Яна_Валерьевна	education
10_Сулейкин_Аллан_Олегович	education
