convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
4	3.1	3.0	1.0	https://vk.com/wall-33327655_2305	2014-11-24	22:23	2014-11-25	83.0	50.0	1.0	2.0	https://vk.com/wall-33327655_2311	2014-11-25	21:43
5	3.1	3.0	1.0	https://vk.com/wall-33327655_3181	2015-10-13	0:56	2015-10-13	98.0	53.0	2.0	1.0	https://vk.com/wall-33327655_3242	2015-10-14	22:05
6	3.1	3.0	1.0	https://vk.com/wall-33327655_5150	2016-10-18	0:44	2016-10-18	100.0	51.0	4.0	0.0	https://vk.com/wall-33327655_5339	2016-10-31	20:50
6	3.1	3.0	1.0	https://vk.com/wall-33327655_5271	2016-10-24	22:34	2016-10-25	100.0	51.0	4.0	0.0	https://vk.com/wall-33327655_5339	2016-10-31	20:50
7	3.1	3.0	1.0	https://vk.com/wall-33327655_6645	2017-10-24	23:26	2017-10-25	103.0	53.0	2.0	2.0	https://vk.com/wall-33327655_6651	2017-10-25	20:14
8	3.1	3.0	1.0	https://vk.com/wall-33327655_7619	2018-10-21	23:45	2018-10-22	107.0	58.0	11.0	3.0	https://vk.com/wall-33327655_7675	2018-10-26	14:00
9	3.1	3.0	1.0	https://vk.com/wall-33327655_8300	2019-10-20	23:11	2019-10-21	115.0	58.0	3.0	0.0	https://vk.com/wall-33327655_8407	2019-10-31	10:30
10	3.1	3.0	1.0	https://vk.com/wall-33327655_9226	2020-11-03	22:33	2020-11-04	104.0	52.0	0.0	2.0	https://vk.com/wall-33327655_9328	2020-11-09	21:57
11	3.1	3.0	1.0	https://vk.com/wall-33327655_9894	2021-10-11	11:48	2021-10-11	105.0	53.0	4.0	0.0	https://vk.com/wall-33327655_10007	2021-10-19	11:05
4	3.2	3.0	2.0	https://vk.com/wall-33327655_2221	2014-11-18	23:11	2014-11-19	103.0	56.0	0.0	0.0	https://vk.com/wall-33327655_2330	2014-11-27	23:20
4	3.2	3.0	2.0	https://vk.com/wall-33327655_2315	2014-11-26	0:02	2014-11-26	103.0	56.0	0.0	0.0	https://vk.com/wall-33327655_2330	2014-11-27	23:20
5	3.2	3.0	2.0	https://vk.com/wall-33327655_3295	2015-10-16	1:20	2015-10-16	107.0	59.0	2.0	4.0	https://vk.com/wall-33327655_3318	2015-10-17	20:45
6	3.2	3.0	2.0	https://vk.com/wall-33327655_5213	2016-10-20	0:58	2016-10-20	105.0	54.0	0.0	0.0	https://vk.com/wall-33327655_5229	2016-10-20	18:24
8	3.2	3.0	2.0	https://vk.com/wall-33327655_7657	2018-10-25	0:10	2018-10-25	94.0	49.0	4.0	1.0	https://vk.com/wall-33327655_7728	2018-11-12	22:56
9	3.2	3.0	2.0	https://vk.com/wall-33327655_8277	2019-10-15	22:59	2019-10-16	118.0	62.0	13.0	0.0	https://vk.com/wall-33327655_8341	2019-10-25	21:46
10	3.2	3.0	2.0	https://vk.com/wall-33327655_9212	2020-11-02	21:26	2020-11-03	118.0	59.0	11.0	0.0	https://vk.com/wall-33327655_9317	2020-11-08	20:09
11	3.2	3.0	2.0	https://vk.com/wall-33327655_9889	2021-10-08	11:44	2021-10-08	104.0	52.0	4.0	0.0	https://vk.com/wall-33327655_9992	2021-10-17	15:35
4	3.3	3.0	3.0	https://vk.com/wall-33327655_2298	2014-11-23	22:43	2014-11-24	98.0	67.0	3.0	0.0	https://vk.com/wall-33327655_2310	2014-11-25	21:42
5	3.3	3.0	3.0	https://vk.com/wall-33327655_3368	2015-10-20	1:24	2015-10-20	103.0	62.0	0.0	0.0	https://vk.com/wall-33327655_3441	2015-10-21	21:40
6	3.3	3.0	3.0	https://vk.com/wall-33327655_5185	2016-10-19	1:09	2016-10-19	90.0	66.0	1.0	1.0	https://vk.com/wall-33327655_5226	2016-10-20	17:48
7	3.3	3.0	3.0	https://vk.com/wall-33327655_6637	2017-10-23	23:55	2017-10-24	85.0	47.0	2.0	0.0	https://vk.com/wall-33327655_6647	2017-10-24	23:50
8	3.3	3.0	3.0	https://vk.com/wall-33327655_7552	2018-10-17	23:27	2018-10-18	103.0	55.0	8.0	0.0	https://vk.com/wall-33327655_7670	2018-10-25	23:52
9	3.3	3.0	3.0	https://vk.com/wall-33327655_8279	2019-10-15	23:53	2019-10-16	94.0	47.0	2.0	0.0	https://vk.com/wall-33327655_8373	2019-10-27	22:50
9	3.3	3.0	3.0	https://vk.com/wall-33327655_8322	2019-10-23	6:02	2019-10-24	94.0	47.0	2.0	0.0	https://vk.com/wall-33327655_8373	2019-10-27	22:50
10	3.3	3.0	3.0	https://vk.com/wall-33327655_9227	2020-11-03	23:17	2020-11-04	111.0	59.0	0.0	1.0	https://vk.com/wall-33327655_9326	2020-11-09	18:19
11	3.3	3.0	3.0	https://vk.com/wall-33327655_9895	2021-10-11	11:58	2021-10-11	97.0	52.0	6.0	0.0	https://vk.com/wall-33327655_9976	2021-10-15	23:11
4	3.4	3.0	4.0	https://vk.com/wall-33327655_2218	2014-11-18	1:42	2014-11-18	48.0	24.0	0.0	0.0	https://vk.com/wall-33327655_2246	2014-11-21	22:10
6	3.4	3.0	4.0	https://vk.com/wall-33327655_5133	2016-10-17	23:57	2016-10-18	35.0	19.0	1.0	0.0	https://vk.com/wall-33327655_5171	2016-10-18	22:05
8	3.4	3.0	4.0	https://vk.com/wall-33327655_7623	2018-10-23	0:06	2018-10-23	40.0	25.0	0.0	0.0	https://vk.com/wall-33327655_7681	2018-10-27	10:00
9	3.4	3.0	4.0	https://vk.com/wall-33327655_8299	2019-10-20	22:58	2019-10-21	42.0	23.0	0.0	0.0	https://vk.com/wall-33327655_8367	2019-10-27	22:00
10	3.4	3.0	4.0	https://vk.com/wall-33327655_9213	2020-11-02	21:28	2020-11-03	46.0	24.0	0.0	1.0	https://vk.com/wall-33327655_9321	2020-11-09	12:06
10	3.4	3.0	4.0	https://vk.com/wall-33327655_9216	2020-11-03	12:00	2020-11-03	46.0	24.0	0.0	1.0	https://vk.com/wall-33327655_9321	2020-11-09	12:06
11	3.4	3.0	4.0	https://vk.com/wall-33327655_9888	2021-10-08	11:33	2021-10-08	42.0	23.0	0.0	0.0	https://vk.com/wall-33327655_9905	2021-10-12	13:04
11	3.5	3.0	5.0	https://vk.com/wall-33327655_9887	2021-10-08	11:23	2021-10-08	14.0	8.0	0.0	0.0	https://vk.com/wall-33327655_9906	2021-10-12	14:04
4	4.1	4.0	1.0	https://vk.com/wall-33327655_2210	2014-11-16	21:54	2014-11-17	102.0	52.0	1.0	0.0	https://vk.com/wall-33327655_2240	2014-11-21	21:45
5	4.1	4.0	1.0	https://vk.com/wall-33327655_3264	2015-10-15	1:19	2015-10-15	83.0	44.0	2.0	0.0	https://vk.com/wall-33327655_3283	2015-10-15	22:47
6	4.1	4.0	1.0	https://vk.com/wall-33327655_5212	2016-10-20	0:51	2016-10-20	95.0	50.0	0.0	2.0	https://vk.com/wall-33327655_5357	2016-10-31	23:50
6	4.1	4.0	1.0	https://vk.com/wall-33327655_5318	2016-10-26	22:45	2016-10-27	95.0	50.0	0.0	2.0	https://vk.com/wall-33327655_5357	2016-10-31	23:50
7	4.1	4.0	1.0	https://vk.com/wall-33327655_6603	2017-10-16	22:54	2017-10-17	69.0	35.0	1.0	0.0	https://vk.com/wall-33327655_6639	2017-10-24	17:30
8	4.1	4.0	1.0	https://vk.com/wall-33327655_7667	2018-10-25	21:44	2018-10-26	86.0	45.0	11.0	2.0	https://vk.com/wall-33327655_7694	2018-11-02	22:25
9	4.1	4.0	1.0	https://vk.com/wall-33327655_8293	2019-10-18	0:10	2019-10-18	99.0	54.0	8.0	3.0	https://vk.com/wall-33327655_8343	2019-10-25	22:01
